station,month,n
flotflux,2019-10,1881
flotflux,2019-12,6673
flotflux,2020-01,8928
flotflux,2020-02,8352
flotflux,2020-03,8928
flotflux,2020-04,8640
flotflux,2020-05,8928
flotflux,2020-06,8640
flotflux,2020-07,8928
flotflux,2020-08,8927
flotflux,2020-09,8640
flotflux,2020-10,157
flotflux,2020-11,1147
flotflux,2020-12,6058
flotflux,2021-08,3453
flotflux,2021-09,8640
flotflux,2021-10,8926
flotflux,2021-11,8639
flotflux,2021-12,8928
flotflux,2022-01,8928
flotflux,2022-02,8063
flotflux,2022-03,8928
flotflux,2022-04,8640
flotflux,2022-05,8928
flotflux,2022-06,8638
flotflux,2022-07,8928
flotflux,2022-08,8928
flotflux,2022-09,8640
flotflux,2022-10,8928
flotflux,2022-11,8640
flotflux,2022-12,8928
flotflux,2023-01,8928
flotflux,2023-02,8064
flotflux,2023-03,8928
flotflux,2023-04,8639
flotflux,2023-05,8928
flotflux,2023-06,8640
flotflux,2023-07,8928
flotflux,2023-08,8928
flotflux,2023-09,8637
flotflux,2023-10,8928
flotflux,2023-11,8637
flotflux,2023-12,8928
flotflux,2024-01,8928
flotflux,2024-02,8352
flotflux,2024-03,8928
flotflux,2024-04,8638
flotflux,2024-05,8928
flotflux,2024-06,8640
flotflux,2024-07,8928
flotflux,2024-08,8558
flotflux,2024-09,3583
flotflux,2024-12,4981
flotflux,2025-01,8928
flotflux,2025-02,8064
flotflux,2025-03,8928
flotflux,2025-04,8466
flotflux,2025-05,2708
flotflux,2025-06,8640
flotflux,2025-07,4461
flotflux,2026-03,4952
flotflux,2026-04,8636
flotflux,2026-05,8927
flotflux,2026-06,8212
flotflux,2026-07,4181
guanabara,2013-08,6528
guanabara,2013-09,2681
guanabara,2016-11,7881
guanabara,2016-12,8928
guanabara,2017-01,8928
guanabara,2017-02,8064
guanabara,2017-03,8928
guanabara,2017-04,8640
guanabara,2017-05,8928
guanabara,2017-06,8639
guanabara,2017-07,8928
guanabara,2017-08,8928
guanabara,2017-09,8640
guanabara,2017-10,8928
guanabara,2017-11,8640
guanabara,2017-12,3300
guanabara,2021-08,2557
guanabara,2021-09,6679
guanabara,2021-10,5433
guanabara,2021-11,6872
guanabara,2021-12,7587
guanabara,2022-01,8927
guanabara,2022-02,8064
guanabara,2022-03,8928
guanabara,2022-04,4820
guanabara,2022-05,3969
guanabara,2022-06,2048
guanabara,2022-07,2843
guanabara,2022-08,3137
guanabara,2022-09,3637
guanabara,2022-10,3519
guanabara,2022-11,4760
guanabara,2022-12,3433
guanabara,2023-01,4220
guanabara,2023-02,3561
guanabara,2023-03,4344
guanabara,2023-04,2922
guanabara,2023-05,1884
guanabara,2023-06,940
guanabara,2023-07,1979
guanabara,2023-08,3529
guanabara,2023-09,825
guanabara,2023-10,1836
guanabara,2023-11,2433
guanabara,2023-12,2810
guanabara,2024-01,2871
guanabara,2024-02,2535
guanabara,2024-03,2519
guanabara,2024-04,1866
guanabara,2024-05,2121
guanabara,2024-06,2162
guanabara,2024-07,2473
guanabara,2024-10,7656
guanabara,2024-11,8638
guanabara,2024-12,8925
guanabara,2025-01,4233
iateclube,2012-04,3576
iateclube,2012-05,8928
iateclube,2012-06,8640
iateclube,2012-07,8928
iateclube,2012-08,8928
iateclube,2012-09,8640
iateclube,2012-10,8916
iateclube,2012-11,8640
iateclube,2012-12,8928
iateclube,2013-01,8928
iateclube,2013-02,8064
iateclube,2013-03,8928
iateclube,2013-04,8640
iateclube,2013-05,8928
iateclube,2013-06,8640
iateclube,2013-07,8927
iateclube,2013-08,8919
iateclube,2013-09,2645
iateclube,2014-01,1328
iateclube,2014-02,8064
iateclube,2014-03,8928
iateclube,2014-04,8640
iateclube,2014-05,8928
iateclube,2014-06,8638
iateclube,2014-07,8928
iateclube,2014-08,8928
iateclube,2014-09,8640
iateclube,2014-10,8916
iateclube,2014-11,8640
iateclube,2014-12,8928
iateclube,2015-01,8928
iateclube,2015-02,8064
iateclube,2015-03,8928
iateclube,2015-04,8640
iateclube,2015-05,8311
iateclube,2015-06,3408
iateclube,2015-07,2486
iateclube,2015-08,5947
iateclube,2015-09,8640
iateclube,2015-10,8916
iateclube,2015-11,8640
iateclube,2015-12,8928
iateclube,2016-01,8928
iateclube,2016-02,8352
iateclube,2016-03,8927
iateclube,2016-04,8640
iateclube,2016-05,8928
iateclube,2016-06,8471
iateclube,2016-07,8928
iateclube,2016-08,8926
iateclube,2016-09,8640
iateclube,2016-10,8916
iateclube,2016-11,8640
iateclube,2016-12,8375
iateclube,2017-01,8928
iateclube,2017-02,8064
iateclube,2017-03,8928
iateclube,2017-04,8640
iateclube,2017-05,8927
iateclube,2017-06,5249
iateclube,2017-07,8906
iateclube,2017-08,8517
iateclube,2017-09,8620
iateclube,2017-10,8698
iateclube,2017-11,8425
iateclube,2017-12,8547
iateclube,2018-01,8928
iateclube,2018-02,1892
iateclube,2018-04,4020
iateclube,2018-05,8928
iateclube,2018-06,7209
iateclube,2018-07,8928
iateclube,2018-08,7645
iateclube,2018-09,6427
iateclube,2018-10,6574
iateclube,2018-11,5284
iateclube,2018-12,422
iateclube,2019-02,3
iateclube,2019-03,8795
iateclube,2019-04,8638
iateclube,2019-05,8928
iateclube,2019-06,8640
iateclube,2019-07,8928
iateclube,2019-08,8928
iateclube,2019-09,8640
iateclube,2019-10,1871
iateclube,2019-11,3463
iateclube,2019-12,8928
iateclube,2020-01,8928
iateclube,2020-02,8352
iateclube,2020-03,8928
iateclube,2020-04,8640
iateclube,2020-05,8928
iateclube,2020-06,8640
iateclube,2020-07,8928
iateclube,2020-08,8927
iateclube,2020-09,8640
iateclube,2020-10,8928
iateclube,2020-11,8640
iateclube,2020-12,8605
iateclube,2021-01,1515
iateclube,2021-02,5319
iateclube,2021-03,586
iateclube,2021-08,3453
iateclube,2021-09,8640
iateclube,2021-10,8928
iateclube,2021-11,8640
iateclube,2021-12,8927
iateclube,2022-01,8927
iateclube,2022-02,8063
iateclube,2022-03,8928
iateclube,2022-04,8640
iateclube,2022-05,8928
iateclube,2022-06,8639
iateclube,2022-07,8928
iateclube,2022-08,8928
iateclube,2022-09,8640
iateclube,2022-10,8928
iateclube,2022-11,8640
iateclube,2022-12,8928
iateclube,2023-01,8928
iateclube,2023-02,8064
iateclube,2023-03,8928
iateclube,2023-04,8639
iateclube,2023-05,8928
iateclube,2023-06,8639
iateclube,2023-07,8928
iateclube,2023-08,8928
iateclube,2023-09,8150
iateclube,2023-10,7649
iateclube,2023-11,8639
iateclube,2023-12,8928
iateclube,2024-01,8928
iateclube,2024-02,8351
iateclube,2024-03,8928
iateclube,2024-04,8639
iateclube,2024-05,8928
iateclube,2024-06,8639
iateclube,2024-07,8928
iateclube,2024-08,8927
iateclube,2024-09,4411
iateclube,2024-10,6178
iateclube,2024-11,8640
iateclube,2024-12,8864
iateclube,2025-01,8777
iateclube,2025-02,8061
iateclube,2025-03,8927
iateclube,2025-04,8639
iateclube,2025-05,8891
iateclube,2025-06,8640
iateclube,2025-07,8894
iateclube,2025-08,8917
iateclube,2025-09,8623
iateclube,2025-10,8623
iateclube,2025-11,8616
iateclube,2025-12,8620
iateclube,2026-01,7758
iateclube,2026-02,7184
iateclube,2026-03,8345
iateclube,2026-04,8636
iateclube,2026-05,8914
iateclube,2026-06,8213
iateclube,2026-07,4180
itaum,2011-12,24
itaum,2012-01,8911
itaum,2012-02,8352
itaum,2012-03,8928
itaum,2012-04,5065
itaum,2013-08,6573
itaum,2013-09,8640
itaum,2013-10,8916
itaum,2013-11,8640
itaum,2013-12,8928
itaum,2014-01,8928
itaum,2014-02,8064
itaum,2014-03,8925
itaum,2014-04,8640
itaum,2014-05,8928
itaum,2014-06,8638
itaum,2014-07,8928
itaum,2014-08,8922
itaum,2014-09,8640
itaum,2014-10,8916
itaum,2014-11,7970
itaum,2014-12,8137
itaum,2015-01,158
itaum,2017-05,1495
itaum,2017-06,7948
itaum,2017-07,8678
itaum,2017-08,8609
itaum,2017-09,8509
itaum,2017-10,5815
itaum,2017-11,8638
itaum,2017-12,8922
itaum,2018-01,8927
itaum,2018-02,8064
itaum,2018-03,8928
itaum,2018-04,8640
itaum,2018-05,8928
itaum,2018-06,8635
itaum,2018-07,8928
itaum,2018-08,8928
itaum,2018-09,8640
itaum,2018-10,8928
itaum,2018-11,8625
itaum,2018-12,8928
itaum,2019-01,8927
itaum,2019-02,8064
itaum,2019-03,8928
itaum,2019-04,8640
itaum,2019-05,8928
itaum,2019-06,8640
itaum,2019-07,8928
itaum,2019-08,3804
itaum,2021-08,3454
itaum,2021-09,8640
itaum,2021-10,8927
itaum,2021-11,8640
itaum,2021-12,8928
itaum,2022-01,8928
itaum,2022-02,8064
itaum,2022-03,8928
itaum,2022-04,8640
itaum,2022-05,8928
itaum,2022-06,8640
itaum,2022-07,8928
itaum,2022-08,8928
itaum,2022-09,8640
itaum,2022-10,8928
itaum,2022-11,8640
itaum,2022-12,8928
itaum,2023-01,8928
itaum,2023-02,8064
itaum,2023-03,8928
itaum,2023-04,8640
itaum,2023-05,8927
itaum,2023-06,8640
itaum,2023-07,8928
itaum,2023-08,8928
itaum,2023-09,8639
itaum,2023-10,8927
itaum,2023-11,8639
itaum,2023-12,8928
itaum,2024-01,8928
itaum,2024-02,8352
itaum,2024-03,8927
itaum,2024-04,8640
itaum,2024-05,8928
itaum,2024-06,8639
itaum,2024-07,8928
itaum,2024-08,8924
itaum,2024-09,8634
itaum,2024-10,8926
itaum,2024-11,8600
itaum,2024-12,1696
jardimparaiso,2013-08,6528
jardimparaiso,2013-09,2681
jardimparaiso,2016-11,1196
jardimparaiso,2016-12,8928
jardimparaiso,2017-01,8928
jardimparaiso,2017-02,8064
jardimparaiso,2017-03,8928
jardimparaiso,2017-04,8640
jardimparaiso,2017-05,8928
jardimparaiso,2017-06,8640
jardimparaiso,2017-07,8928
jardimparaiso,2017-08,8928
jardimparaiso,2017-09,8640
jardimparaiso,2017-10,8928
jardimparaiso,2017-11,8640
jardimparaiso,2017-12,3858
jardimparaiso,2021-08,3454
jardimparaiso,2021-09,8640
jardimparaiso,2021-10,8926
jardimparaiso,2021-11,8640
jardimparaiso,2021-12,8928
jardimparaiso,2022-01,8928
jardimparaiso,2022-02,8064
jardimparaiso,2022-03,8927
