date,temp_max,temp_min,umid_max,umid_min,solar_total,gust_max,prec,dewpoint,heat_index,wind_chill,n_hours,temp_mean,umid_mean,ws_mean,solar_mean,gust_dir,level_max,level_min
2025-04-20,24.8,18.2,99.0,63.0,2052.7978333333335,4.5,0.0,18.423680555555556,24.8,18.2,24,20.307708333333334,89.41250000000001,0.1638888888888889,85.53324305555556,,,
2025-04-21,23.6,17.8,98.0,71.0,1309.5848333333333,3.4,0.0,17.896944444444443,23.6,17.8,24,19.443125,91.07222222222221,0.06881944444444445,54.56603472222222,,,
2025-04-22,27.5,16.4,99.0,53.0,3087.023833333333,4.5,0.0,17.616666666666667,29.0,16.4,24,20.31076388888889,85.81458333333335,0.245,128.62599305555554,,,
2025-04-23,28.4,14.3,99.0,57.0,3239.0713333333333,4.5,0.0,17.669722222222223,30.0,14.3,24,19.94263888888889,88.12986111111111,0.2366666666666667,134.96130555555555,,,
2025-04-24,24.3,16.3,99.0,75.0,1461.2395,2.2,0.3,18.154722222222222,24.3,16.3,24,19.075625,94.46805555555555,0.04756944444444445,60.88497916666666,,,
2025-04-25,28.7,17.2,99.0,58.0,2829.150166666667,4.5,0.0,18.834027777777777,31.0,17.2,24,20.743402777777778,89.74166666666667,0.171875,117.88125694444444,,,
2025-04-26,27.5,17.5,99.0,67.0,1955.9400833333334,3.4,0.0,20.182559339525284,271.0,0.0,18,21.94269607843137,90.66519607843138,0.1212037037037037,115.05529901960784,,,
2025-04-27,29.9,16.6,99.0,63.0,3150.6226666666666,3.4,0.0,20.252595494613125,34.0,16.6,20,22.03957430875576,90.12868279569892,0.14660215053763442,165.8222456140351,,,
2025-04-28,28.4,17.3,99.0,64.0,2022.0140833333332,6.7,0.6,19.70068317677199,759.0,0.6,22,21.708181818181817,89.21628787878788,0.33840909090909094,91.90973106060606,,,
2025-04-29,26.8,12.4,99.0,45.0,4054.5758333333333,6.7,0.0,15.108819444444444,27.0,12.4,24,18.65791666666667,82.68263888888889,0.2795138888888889,168.94065972222222,,,
2025-04-30,25.7,14.8,99.0,59.0,2869.6163333333334,5.6,0.0,16.59715277777778,25.7,14.8,24,19.184652777777778,86.18333333333334,0.2584722222222222,119.56734722222222,,,
2025-05-01,26.7,14.9,99.0,58.0,3113.4925000000003,5.6,0.0,17.062013888888888,26.7,14.9,24,19.371875,87.5763888888889,0.2596527777777778,129.72885416666668,,,
2025-05-02,27.4,15.4,99.0,63.0,2866.5306666666665,5.6,0.0,17.884652777777777,29.0,15.4,24,19.876527777777778,89.23472222222222,0.2395138888888889,119.43877777777777,,,
2025-05-03,29.4,15.9,99.0,51.0,3439.9038333333333,5.6,0.0,18.14236111111111,31.0,15.9,24,20.518958333333334,87.92708333333333,0.22458333333333336,143.3293263888889,,,
2025-05-04,28.7,15.1,99.0,0.0,3022.0350307017543,5.6,,18.318922852983988,31.0,10.0,24,20.324765417331207,89.2858788912517,0.2010048358074674,125.91812627923976,,,
2025-05-05,28.3,16.9,99.0,61.0,3293.168833333333,6.7,0.3,18.989893992932863,30.0,16.9,24,21.02123015873016,89.10277777777777,0.33902777777777776,137.21536805555556,,,
2025-05-06,29.5,16.2,99.0,56.0,3186.4635,4.5,0.0,19.131319444444443,32.0,16.2,24,21.233472222222222,89.0,0.18840277777777778,132.76931249999998,,,
2025-05-07,27.7,17.7,99.0,68.0,1890.4771666666668,3.4,0.0,20.36,30.0,17.7,24,21.64986111111111,92.66388888888889,0.06736111111111111,78.76988194444445,,,
2025-05-08,29.5,18.3,99.0,67.0,2989.272747126437,3.4,0.3,21.041875,34.0,18.3,24,22.633333333333336,91.39375,0.17492937853107346,124.55303113026821,,,
2025-05-09,33.7,21.0,99.0,63.0,3247.246333333333,11.2,1.8,22.819930555555555,45.0,21.0,24,24.987291666666668,88.57222222222221,0.355625,135.30193055555554,,,
2025-05-10,27.8,15.7,99.0,59.0,2339.3916666666664,6.7,0.6,19.298958333333335,30.0,15.7,24,21.045486111111114,90.43194444444445,0.20062500000000003,97.47465277777776,,,
2025-05-11,25.9,12.5,99.0,51.0,2153.0768333333335,9.0,0.0,15.59715277777778,25.9,12.5,24,18.292430555555555,85.49166666666667,0.30124999999999996,89.71153472222223,,,
2025-05-12,25.0,15.7,99.0,69.0,2046.6451666666667,4.5,6.6,17.20826388888889,25.0,15.7,24,18.631666666666668,91.62291666666665,0.245,85.27688194444444,,,
2025-05-13,24.3,17.9,99.0,83.0,1652.2921666666666,4.5,27.3,19.024791666666665,24.3,17.9,24,19.626180555555553,96.17152777777778,0.15944444444444447,68.84550694444444,,,
2025-05-14,26.5,17.1,99.0,70.0,2029.578,3.4,7.5,19.313125,26.5,17.1,24,20.009305555555553,95.74027777777779,0.08277777777777777,84.56575,,,
2025-05-15,24.8,16.4,99.0,75.0,1954.0725,3.4,0.3,18.857916666666668,24.8,16.4,24,19.756249999999998,94.61527777777779,0.09881944444444445,81.4196875,,,
2025-05-16,28.9,15.9,99.0,63.0,3009.912333333333,3.4,1.8,19.45875,32.0,15.9,24,20.882083333333334,92.08958333333334,0.15243055555555554,125.41301388888888,,,
2025-05-17,27.4,17.4,99.0,67.0,2455.3995,3.4,0.0,19.752847222222222,29.0,17.4,24,21.14673611111111,92.21527777777777,0.13145833333333334,102.3083125,,,
2025-05-18,30.2,17.3,99.0,59.0,3125.0833333333335,4.5,0.0,20.359861111111112,35.0,17.3,24,22.284513888888892,89.85208333333333,0.1886111111111111,130.21180555555557,,,
