date,temp_max,temp_min,umid_max,umid_min,solar_total,gust_max,gust_dir,prec,dewpoint,heat_index,wind_chill,n_hours,temp_mean,umid_mean,ws_mean,pressure_mean,solar_mean
2023-03-12,32.75,22.73,95.4,59.22,2087.0,4.688888888888888,80.0,6.35,22.57,23.34,23.34,24.0,24.616249999999997,91.53750000000001,1.2976851851851852,,106.43808333333334
2023-03-13,28.65,22.31,96.7,76.87,681.6,4.46111111111111,91.0,20.32,22.63,23.22,23.22,24.0,23.812083333333334,95.2375,1.2889699074074075,,65.98458333333333
2023-03-14,25.88,22.52,97.0,91.1,275.1,5.8,20.0,37.59,22.39,22.96,22.96,24.0,24.72458333333333,90.90916666666668,1.0255671296296296,,121.8215
2023-03-15,29.62,22.09,96.5,72.23,1075.0,3.8805555555555555,123.0,12.7,23.06,23.75,23.75,24.0,25.38416666666667,88.92208333333333,1.064988425925926,,166.10487500000002
2023-03-16,31.37,22.76,96.9,68.09,1803.0,4.438888888888889,68.0,3.556,22.55,23.64,23.64,24.0,25.68041666666667,84.04916666666666,1.2396180555555556,,170.97833333333332
2023-03-17,31.42,22.39,96.5,57.75,2085.0,4.361111111111111,24.0,0.254,22.53,23.66,23.66,24.0,25.947083333333335,83.3925,1.1288425925925927,,204.00208333333333
2023-03-18,33.59,22.75,96.4,46.06,2855.0,4.3805555555555555,77.0,5.588,21.47,22.75,22.75,24.0,25.671666666666667,78.88583333333334,1.2539583333333333,,273.18975
2023-03-19,32.35,20.87,96.4,49.07,4221.0,5.461111111111111,31.0,0.0,21.88,24.29,24.29,24.0,26.532916666666665,79.30499999999999,1.354988425925926,,266.86875000000003
2023-03-20,33.48,21.4,95.4,54.98,3850.0,5.511111111111111,92.0,0.0,23.26,24.77,24.77,24.0,28.52,79.05208333333333,1.196875,,261.064125
2023-03-21,37.02,23.53,94.9,49.88,3717.0,3.969444444444444,261.0,0.0,24.63,26.56,26.56,24.0,27.659583333333334,79.92208333333333,1.1068518518518518,,231.31145833333335
2023-03-22,33.95,23.41,95.4,55.09,3115.0,4.919444444444444,53.0,0.0,23.25,25.45,25.45,24.0,27.54625,80.81166666666667,1.0455555555555556,,200.64045833333333
2023-03-23,34.08,23.94,94.3,52.26,2758.0,6.461111111111111,62.0,0.0,23.68,25.84,25.84,24.0,27.559166666666666,78.64583333333333,1.4053356481481483,,226.56854166666668
2023-03-24,33.59,23.49,94.5,54.1,3270.0,5.8805555555555555,48.0,0.0,23.39,25.75,25.75,24.0,27.38083333333333,79.12291666666667,1.1947800925925927,,201.82333333333335
2023-03-25,35.22,23.71,94.3,54.44,2585.0,4.95,210.0,0.0,22.05,25.33,25.33,24.0,26.776666666666667,76.37625,1.4461921296296296,,206.61075000000002
2023-03-26,33.54,22.77,91.2,51.85,2773.0,4.569444444444444,18.0,0.0,22.76,24.95,24.95,24.0,27.060833333333335,80.98916666666666,1.6024884259259258,,209.96437500000002
2023-03-27,36.66,23.19,94.5,49.41,2750.0,16.15,245.0,17.27,21.66,24.41,24.41,24.0,25.024583333333336,76.17666666666666,0.9239120370370371,,116.51395833333333
2023-03-28,29.74,22.4,87.9,48.76,1013.0,5.1194444444444445,17.0,0.254,19.94,22.4,22.4,24.0,24.0325,83.82625,1.1227662037037036,,140.869125
2023-03-29,29.92,21.29,93.3,61.0,1911.0,4.430555555555555,21.0,0.0,21.89,23.92,23.92,24.0,25.547916666666666,83.15458333333333,1.4752893518518517,,185.761
2023-03-30,33.57,20.56,95.3,56.82,2434.0,15.780555555555555,227.0,4.826,20.63,21.64,21.64,24.0,25.662499999999998,80.03333333333333,1.714363425925926,,239.18166666666664
2023-03-31,33.88,20.66,95.0,51.1,3274.0,6.619444444444444,213.0,1.778,21.69,23.27,23.27,24.0,26.3475,78.00291666666666,1.5660185185185185,,239.87854166666668
2023-04-01,32.99,21.85,94.7,51.13,3233.0,4.280555555555556,37.0,0.254,22.17,24.15,24.15,24.0,24.49625,80.43375,1.1924421296296297,,135.02487499999998
2023-04-02,30.03,22.21,94.6,67.51,1393.0,5.261111111111111,76.0,0.254,18.62,22.34,22.34,24.0,23.614166666666666,70.05833333333334,0.966412037037037,,220.611
2023-04-03,30.49,18.83,92.0,45.75,3008.0,4.011111111111111,53.0,0.0,18.12,20.82,20.82,24.0,23.72,74.17291666666667,1.4116666666666668,,231.24145833333333
2023-04-04,30.64,18.14,93.9,47.64,3082.0,6.288888888888889,18.0,0.0,19.7,22.88,22.88,24.0,25.057916666666667,75.54208333333334,1.1970486111111112,,237.50908333333334
2023-04-05,31.98,19.82,93.3,50.79,3153.0,5.580555555555556,16.0,0.0,20.66,22.43,22.43,24.0,24.785833333333333,78.09416666666667,1.3748611111111113,,165.97520833333334
2023-04-06,31.26,21.84,93.1,50.24,1783.0,3.7611111111111106,242.0,0.0,20.33,22.57,22.57,24.0,21.349166666666665,93.64999999999999,1.3701157407407407,,39.41795833333333
2023-04-07,22.75,19.73,96.0,87.1,105.2,4.51111111111111,201.0,15.75,19.13,19.78,19.78,24.0,19.904999999999998,95.15833333333335,1.3600925925925926,,32.65925
2023-04-08,21.13,18.8,96.5,90.6,67.67,3.6694444444444447,233.0,35.05,19.47,20.04,20.04,24.0,20.881249999999998,94.54583333333333,1.3086458333333333,,70.88575
2023-04-09,24.52,19.5,96.8,82.0,358.2,4.269444444444444,253.0,9.14,19.8,20.47,20.47,24.0,22.89,87.31041666666665,1.1486574074074074,,134.9925
2023-04-10,28.29,20.05,96.5,65.81,1239.0,4.580555555555555,20.0,2.286,20.64,21.47,21.47,24.0,23.734583333333333,85.1225,0.8512962962962963,,155.18320833333334
2023-04-11,29.97,20.96,96.0,62.15,1800.0,4.45,31.0,4.318,20.44,23.01,23.01,24.0,24.395416666666666,75.4375,1.303761574074074,,233.86775
2023-04-12,30.34,20.08,93.9,49.94,3070.0,4.561111111111112,23.0,0.0,18.39,20.74,20.74,24.0,23.993750000000002,80.85458333333334,1.2704398148148148,,226.897125
2023-04-13,32.18,18.29,95.4,55.42,2904.0,4.3,93.0,0.0,20.98,22.28,22.28,24.0,24.857916666666668,81.14166666666667,1.0769675925925926,,208.51075
2023-04-14,34.63,19.36,96.3,49.07,2641.0,3.8805555555555555,26.0,0.0,21.26,23.36,23.36,24.0,22.03708333333333,93.61666666666667,1.5991087962962964,,27.848708333333335
2023-04-15,23.65,20.54,96.2,87.4,60.13,5.1305555555555555,227.0,46.74,20.06,20.68,20.68,24.0,21.642083333333332,90.83916666666666,1.6488541666666665,,59.895916666666665
2023-04-16,24.95,19.92,96.2,76.67,231.4,5.038888888888889,239.0,1.27,19.59,20.66,20.66,24.0,22.6225,90.05583333333334,1.1716898148148147,,96.20945833333333
2023-04-17,27.09,20.12,96.0,72.38,644.6,4.55,261.0,1.524,21.73,22.43,22.43,24.0,23.895833333333332,89.52708333333334,1.1841550925925926,,102.04670833333334
2023-04-18,29.71,20.22,96.7,67.86,770.3,4.9111111111111105,317.0,28.45,19.34,20.23,20.23,24.0,20.075833333333332,94.07083333333333,1.482222222222222,,42.45858333333333
2023-04-19,22.54,18.26,96.6,83.6,123.1,5.080555555555555,267.0,18.03,17.67,18.26,18.26,24.0,21.45875,66.82333333333334,2.388888888888889,,189.7807916666667
2023-04-20,27.56,16.06,97.4,36.81,2343.0,10.738888888888887,234.0,0.254,12.59,19.38,19.38,24.0,19.82125,59.0425,2.431701388888889,,229.15675
2023-04-21,27.69,14.69,83.0,33.06,2998.0,13.25,233.0,0.0,12.62,15.48,15.48,24.0,19.152083333333334,78.3025,1.3276273148148148,,174.20174999999998
2023-04-22,26.55,13.06,93.4,52.12,1846.0,3.8111111111111113,218.0,0.0,18.18,19.26,19.26,24.0,21.508750000000003,85.77749999999999,1.1058101851851851,,134.876875
2023-04-23,28.38,18.49,95.9,57.98,1288.0,4.469444444444444,220.0,4.318,18.88,19.98,19.98,24.0,21.61791666666667,90.18541666666665,1.221712962962963,,113.02591666666666
2023-04-24,26.64,19.36,95.6,69.13,895.0,3.2694444444444444,1.0,15.49,20.21,20.97,20.97,24.0,22.44875,88.84333333333332,0.8284375,,101.034875
2023-04-25,27.36,19.92,96.1,70.3,711.0,4.1194444444444445,56.0,9.14,19.33,20.78,20.78,24.0,22.535,85.02166666666666,1.0398958333333332,,163.57479166666667
2023-04-26,29.26,19.35,96.8,56.51,1805.0,4.280555555555556,46.0,1.27,19.76,20.88,20.88,24.0,22.606666666666666,88.60333333333334,0.9059837962962963,,91.21804166666668
2023-04-27,28.68,19.96,95.5,67.45,589.7,3.4611111111111112,17.0,0.0,19.82,20.59,20.59,24.0,22.78333333333333,78.29708333333333,1.736863425925926,,195.09508333333335
2023-04-28,30.84,18.67,95.5,44.62,2415.0,8.938888888888888,204.0,0.0,18.78,20.62,20.62,24.0,22.145833333333332,78.84416666666667,0.9319560185185184,,143.93129166666668
2023-04-29,27.66,19.33,94.6,52.86,1525.0,3.8999999999999995,67.0,0.0,18.07,19.76,19.76,24.0,21.260833333333334,86.01291666666667,1.1068287037037037,,99.44616666666667
2023-04-30,26.8,18.2,95.8,58.67,785.1,4.1194444444444445,354.0,1.016,18.91,19.6,19.6,24.0,22.605416666666667,85.23166666666667,1.1690393518518518,,163.59816666666669
2023-05-01,29.21,19.09,95.8,58.77,1896.0,4.6499999999999995,19.0,0.254,19.88,20.92,20.92,24.0,23.537499999999998,82.02083333333333,0.9747916666666666,,186.32900000000004
2023-05-02,31.64,19.0,96.8,50.75,2198.0,3.730555555555555,241.0,0.0,19.76,20.84,20.84,24.0,22.93166666666667,83.39708333333333,1.1567361111111112,,188.51166666666666
2023-05-03,30.61,18.15,96.4,53.21,2221.0,4.0,70.0,0.0,20.05,21.57,21.57,24.0,23.955,84.1025,1.212175925925926,,176.02791666666667
2023-05-04,30.38,20.44,95.0,58.0,2046.0,5.311111111111111,113.0,0.0,21.77,23.47,23.47,24.0,25.436666666666667,83.78458333333333,0.8381018518518518,,129.455125
2023-05-05,32.31,22.26,94.4,59.95,1128.0,3.530555555555556,324.0,0.0,22.54,23.53,23.53,24.0,25.557083333333335,84.61749999999999,1.2504513888888888,,154.19412499999999
2023-05-06,31.34,22.36,95.7,60.74,1538.0,4.711111111111111,31.0,0.0,22.69,24.24,24.24,24.0,25.780833333333334,84.47375,1.0259606481481482,,117.45408333333334
2023-05-07,31.79,23.32,93.5,61.86,1063.0,4.088888888888889,41.0,0.0,22.1,23.35,23.35,24.0,25.433333333333334,83.24041666666666,1.1957638888888888,,153.8245
2023-05-08,31.28,22.84,94.1,59.37,1684.0,5.05,38.0,0.0,22.23,24.5,24.5,24.0,24.589166666666667,88.42666666666666,0.823587962962963,,62.144416666666665
2023-05-09,28.03,22.16,95.7,76.79,247.7,3.8694444444444445,230.0,0.0,21.27,22.72,22.72,24.0,21.664583333333336,86.51583333333333,0.8685185185185184,,37.391625
2023-05-10,24.97,20.16,95.3,70.51,119.6,4.061111111111111,202.0,5.842,18.51,20.28,20.28,24.0,21.587500000000002,81.47583333333334,1.1922453703703704,,89.38520833333332
2023-05-11,25.66,19.2,92.3,63.23,529.9,5.461111111111111,21.0,0.0,17.96,19.23,19.23,24.0,19.919999999999998,72.4875,1.8089004629629628,,189.20441666666667
2023-05-12,26.27,15.1,93.9,41.5,2174.0,6.011111111111111,216.0,0.0,13.94,15.9,15.9,24.0,18.289583333333333,76.85875,1.511261574074074,,142.68029166666665
2023-05-13,24.93,14.22,92.1,52.35,1458.0,5.938888888888888,227.0,0.0,13.76,16.15,16.15,24.0,18.647916666666667,77.60083333333334,1.435613425925926,,150.705375
2023-05-14,26.0,14.1,93.2,50.46,1589.0,4.6499999999999995,30.0,0.0,14.32,15.82,15.82,24.0,19.604583333333334,73.23083333333334,1.1116319444444445,,179.29929166666668
2023-05-15,28.66,13.92,93.6,32.73,1966.0,4.361111111111111,266.0,0.0,13.86,15.96,15.96,24.0,20.163333333333334,71.28791666666667,1.3111805555555556,,178.00483333333332
