date,temp_max,temp_min,umid_max,umid_min,solar_total,gust_max,gust_dir,prec,dewpoint,heat_index,wind_chill,n_hours,temp_mean,umid_mean,ws_mean,solar_mean
2014-04-07,31.31,17.88,100.0,54.43,0.089,4.9,84.0,0.0,19.58,19.58,19.58,24.0,22.875416666666666,90.64833333333333,0.9037268518518519,3.2070833333333333
2014-04-08,30.83,18.33,100.0,57.67,0.277,4.211111111111111,74.0,0.0,20.61,20.83,20.83,24.0,23.76875,88.69958333333334,0.9309606481481482,27.167083333333334
2014-04-09,30.12,19.23,100.0,60.04,2.346,4.1499999999999995,47.0,0.0,21.16,21.16,21.16,24.0,22.3025,94.23333333333333,1.1538310185185185,0.0
2014-04-10,26.36,20.62,100.0,76.67,0.0,6.430555555555555,200.0,5.537,21.31,21.43,21.43,24.0,22.800833333333333,96.66208333333333,0.843912037037037,0.0
2014-04-11,26.16,21.41,100.0,77.63,0.0,3.730555555555555,295.0,1.3719999999999999,21.99,22.01,22.01,24.0,22.902916666666666,95.69583333333333,0.6414814814814814,0.0
2014-04-12,27.37,19.08,100.0,77.92,0.0,2.988888888888889,87.0,0.0,22.86,22.93,22.93,24.0,23.575,96.53333333333335,0.7542592592592593,0.0
2014-04-13,27.19,20.19,100.0,80.3,0.0,2.9611111111111112,3.0,0.686,22.74,22.74,22.74,24.0,23.575,79.25666666666667,1.0648842592592593,0.0
2014-04-14,28.59,19.77,100.0,43.71,0.0,5.969444444444444,217.0,0.0,17.45,20.63,20.63,24.0,19.316666666666666,81.045,0.8282754629629628,0.0
2014-04-15,22.98,17.79,94.7,57.78,0.0,3.1111111111111107,13.0,0.0,16.68,17.87,17.87,24.0,18.168333333333333,94.71249999999999,0.8325,0.0
2014-04-16,19.84,17.29,100.0,83.9,0.0,4.1194444444444445,272.0,1.6,18.15,18.15,18.15,24.0,19.825416666666666,96.10000000000001,0.6981597222222221,0.0
2014-04-17,23.81,16.91,100.0,80.7,0.0,3.1,321.0,0.457,19.11,19.11,19.11,24.0,21.92833333333333,92.04541666666667,0.8355208333333333,0.0
2014-04-18,28.62,17.71,100.0,66.49,0.0,4.75,102.0,0.457,21.0,21.0,21.0,24.0,23.09875,88.96166666666666,1.0586689814814816,0.0
2014-04-19,30.07,19.33,100.0,57.68,0.0,4.480555555555555,47.0,0.0,19.33,19.33,19.33,24.0,22.247500000000002,92.28416666666668,0.946099537037037,0.0
2014-04-20,29.25,18.62,100.0,67.12,0.0,5.538888888888889,217.0,11.25,20.36,20.41,20.41,24.0,21.783749999999998,93.92875,0.7954976851851852,0.0
2014-04-21,27.47,19.66,100.0,67.23,0.0,4.1,113.0,0.457,19.67,20.17,20.17,24.0,21.174166666666668,90.87583333333333,0.7357060185185186,0.0
2014-04-22,25.81,18.9,98.5,71.23,0.0,3.3000000000000003,72.0,0.0,20.14,20.38,20.38,24.0,20.99875,94.52875,0.9628703703703704,0.0
2014-04-23,26.95,18.23,100.0,73.35,0.0,5.480555555555555,202.0,44.53,18.62,19.38,19.38,24.0,19.35291666666667,92.25625000000001,1.210949074074074,0.0
2014-04-24,22.39,17.87,99.7,71.69,0.0,4.75,263.0,6.172,17.81,18.03,18.03,24.0,19.0425,94.7625,0.7515740740740741,0.0
2014-04-25,21.74,17.38,99.8,76.59,0.0,2.8694444444444445,64.0,0.0,17.75,18.0,18.0,24.0,19.647916666666667,88.63208333333334,0.9649305555555555,0.0
2014-04-26,24.63,17.15,100.0,65.21,0.0,5.199999999999999,78.0,0.0,16.35,17.65,17.65,24.0,18.920833333333334,85.34750000000001,0.819837962962963,0.0
2014-04-27,24.42,14.36,99.1,55.23,0.0,4.269444444444444,75.0,0.229,16.47,16.91,16.91,24.0,18.54375,87.90583333333332,0.9707291666666666,0.0
2014-04-28,23.87,15.86,99.4,64.01,0.0,5.511111111111111,115.0,1.854,16.36,16.52,16.52,24.0,18.18875,92.78375,1.0592824074074074,0.0
2014-04-29,24.4,15.18,99.9,63.5,0.0,3.838888888888889,291.0,2.286,15.34,15.35,15.35,24.0,17.711666666666666,90.23125,0.9297569444444443,0.0
2014-04-30,24.92,12.91,100.0,59.97,0.0,4.9,90.0,0.229,15.33,15.33,15.33,24.0,17.57166666666667,94.36958333333332,0.5704166666666667,0.0
2014-05-01,22.65,13.77,100.0,71.23,0.0,1.9899999999999998,143.0,0.0,17.45,17.45,17.45,24.0,21.64375,79.29458333333334,1.611574074074074,0.0
2014-05-02,28.66,16.58,100.0,48.47,0.0,14.119444444444444,284.0,4.572,16.12,16.68,16.68,24.0,19.112916666666667,84.80291666666666,0.9145601851851852,0.0
2014-05-03,27.05,11.95,100.0,47.2,0.0,5.511111111111111,78.0,0.0,17.46,17.56,17.56,24.0,20.230416666666667,88.12041666666666,0.9711574074074073,0.0
2014-05-04,27.27,14.16,100.0,59.46,0.0,5.411111111111111,86.0,0.0,17.96,18.01,18.01,24.0,20.35125,89.78500000000001,0.8631944444444444,0.0
2014-05-05,28.11,15.21,100.0,60.98,0.0,3.6694444444444447,81.0,0.0,16.86,16.86,16.86,24.0,20.434166666666666,93.65291666666667,0.6553240740740741,0.0
2014-05-06,25.49,16.19,100.0,74.3,0.0,2.5111111111111106,51.0,0.0,20.32,20.32,20.32,24.0,22.224999999999998,92.03583333333334,0.6849189814814816,0.0
2014-05-07,26.69,17.87,100.0,72.59,0.0,2.9,85.0,0.457,19.12,19.12,19.12,24.0,21.624583333333334,93.30083333333333,0.7716087962962962,0.0
2014-05-08,29.17,18.9,100.0,65.95,0.0,3.9805555555555556,74.0,0.0,20.84,21.29,21.29,24.0,22.682916666666667,91.27416666666666,0.8594791666666667,0.0
2014-05-09,30.26,18.27,100.0,61.79,0.0,4.3694444444444445,341.0,0.686,20.46,20.97,20.97,24.0,20.36375,86.63625,0.8550694444444443,0.0
2014-05-10,25.84,13.88,100.0,51.53,0.0,4.7,197.0,0.229,13.88,13.88,13.88,24.0,16.066666666666666,95.69166666666666,0.8962731481481482,0.0
2014-05-11,21.99,11.63,100.0,66.53,0.0,5.55,121.0,9.8,16.45,16.53,16.53,24.0,17.609166666666667,91.98833333333333,1.2251967592592592,0.0
2014-05-12,21.27,15.19,99.9,68.02,0.0,4.6,308.0,5.258,15.81,15.81,15.81,24.0,18.329583333333336,90.01458333333333,1.0322453703703702,0.0
2014-05-13,24.57,14.04,100.0,62.54,0.0,5.169444444444444,52.0,1.3719999999999999,14.93,14.93,14.93,24.0,18.245416666666667,91.22416666666668,0.7021412037037037,0.0
