date,code,station,temp,umid,ws,wd,prec
2020-10-10 08:00:00,aeroporto,Aeroporto SBJV,18.0,93.88,1.54224407688869,260.0,
2020-10-10 09:00:00,aeroporto,Aeroporto SBJV,20.0,77.75,0.0,0.0,
2020-10-10 10:00:00,aeroporto,Aeroporto SBJV,22.0,68.75,1.02816271792579,340.0,
2020-10-10 11:00:00,aeroporto,Aeroporto SBJV,23.0,64.69,2.57040679481448,120.0,
2020-10-10 12:00:00,aeroporto,Aeroporto SBJV,24.0,60.9,5.14081358962897,110.0,
2020-10-10 13:00:00,aeroporto,Aeroporto SBJV,24.0,60.9,5.65489494859186,120.0,
2020-10-10 14:00:00,aeroporto,Aeroporto SBJV,25.0,47.25,6.16897630755476,110.0,
2020-10-10 15:00:00,aeroporto,Aeroporto SBJV,24.0,50.17,6.68305766651766,120.0,
2020-10-10 16:00:00,aeroporto,Aeroporto SBJV,22.0,56.63,6.16897630755476,130.0,
2020-10-10 17:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-10 18:00:00,aeroporto,Aeroporto SBJV,20.0,72.92,5.14081358962897,130.0,
2020-10-10 19:00:00,aeroporto,Aeroporto SBJV,19.0,77.6,5.14081358962897,130.0,
2020-10-10 20:00:00,aeroporto,Aeroporto SBJV,19.0,77.6,5.14081358962897,130.0,
2020-10-10 21:00:00,aeroporto,Aeroporto SBJV,18.0,77.45,4.11265087170317,130.0,
2020-10-10 22:00:00,aeroporto,Aeroporto SBJV,18.0,72.56,4.11265087170317,120.0,
2020-10-10 23:00:00,aeroporto,Aeroporto SBJV,18.0,72.56,4.11265087170317,120.0,
2020-10-11 00:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-11 01:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-11 02:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-11 03:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-11 04:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-11 05:00:00,aeroporto,Aeroporto SBJV,,,,,
2020-10-11 06:00:00,aeroporto,Aeroporto SBJV,15.0,93.74,0.0,0.0,
2020-10-11 07:00:00,aeroporto,Aeroporto SBJV,17.0,88.0,1.02816271792579,320.0,
2020-10-11 08:00:00,aeroporto,Aeroporto SBJV,19.0,72.74,0.0,0.0,
