station,kind,date,raw_prec,reason
ceasa,daily,2025-10-05,254.0,inch_code
ceasa,daily,2025-12-04,254.0,inch_code
ceasa,daily,2025-12-13,254.0,inch_code
ceasa,daily,2025-12-14,254.0,inch_code
ceasa,daily,2026-01-06,254.0,inch_code
ceasa,daily,2026-02-13,254.0,inch_code
ceasa,daily,2026-02-16,254.0,inch_code
ceasa,daily,2026-02-24,254.0,inch_code
ceasa,daily,2026-03-01,254.0,inch_code
ceasa,daily,2026-03-08,254.0,inch_code
ceasa,daily,2026-04-13,254.0,inch_code
ceasa,hourly,2013-08-28 12:00:00,104.8,gap_dump
ceasa,hourly,2025-03-25 23:00:00,254.0,inch_code
ceasa,hourly,2025-03-26 02:00:00,254.0,inch_code
ceasa,hourly,2025-03-26 10:00:00,254.0,inch_code
ceasa,hourly,2025-03-26 15:00:00,254.0,inch_code
ceasa,hourly,2025-03-26 21:00:00,254.0,inch_code
ceasa,hourly,2025-03-27 05:00:00,254.0,inch_code
ceasa,hourly,2025-03-28 05:00:00,254.0,inch_code
ceasa,hourly,2025-04-03 18:00:00,254.0,inch_code
ceasa,hourly,2025-04-03 23:00:00,254.0,inch_code
ceasa,hourly,2025-04-04 14:00:00,254.0,inch_code
ceasa,hourly,2025-04-04 16:00:00,254.0,inch_code
ceasa,hourly,2025-04-06 01:00:00,254.0,inch_code
ceasa,hourly,2025-04-06 03:00:00,254.0,inch_code
ceasa,hourly,2025-04-06 11:00:00,254.0,inch_code
ceasa,hourly,2025-04-07 08:00:00,254.0,inch_code
ceasa,hourly,2025-04-07 10:00:00,254.0,inch_code
ceasa,hourly,2025-04-11 15:00:00,254.0,inch_code
ceasa,hourly,2025-04-12 11:00:00,254.0,inch_code
ceasa,hourly,2025-04-13 21:00:00,254.0,inch_code
ceasa,hourly,2025-04-13 23:00:00,254.0,inch_code
ceasa,hourly,2025-05-10 02:00:00,254.0,inch_code
ceasa,hourly,2025-05-12 03:00:00,254.0,inch_code
ceasa,hourly,2025-05-12 09:00:00,254.0,inch_code
ceasa,hourly,2025-05-13 21:00:00,254.0,inch_code
ceasa,hourly,2025-05-14 00:00:00,254.0,inch_code
ceasa,hourly,2025-05-14 11:00:00,254.0,inch_code
ceasa,hourly,2025-05-14 22:00:00,254.0,inch_code
ceasa,hourly,2025-05-15 01:00:00,254.0,inch_code
ceasa,hourly,2025-05-15 22:00:00,254.0,inch_code
ceasa,hourly,2025-05-16 01:00:00,254.0,inch_code
ceasa,hourly,2025-05-21 02:00:00,254.0,inch_code
ceasa,hourly,2025-05-21 03:00:00,254.0,inch_code
ceasa,hourly,2025-05-21 04:00:00,254.0,inch_code
ceasa,hourly,2025-05-21 05:00:00,254.0,inch_code
ceasa,hourly,2025-05-21 06:00:00,254.0,inch_code
ceasa,hourly,2025-05-21 14:00:00,254.0,inch_code
ceasa,hourly,2025-05-23 11:00:00,254.0,inch_code
ceasa,hourly,2025-06-02 01:00:00,254.0,inch_code
ceasa,hourly,2025-06-05 00:00:00,254.0,inch_code
ceasa,hourly,2025-06-05 02:00:00,254.0,inch_code
ceasa,hourly,2025-06-05 03:00:00,254.0,inch_code
ceasa,hourly,2025-06-05 09:00:00,254.0,inch_code
ceasa,hourly,2025-06-05 11:00:00,254.0,inch_code
ceasa,hourly,2025-06-06 23:00:00,254.0,inch_code
ceasa,hourly,2025-06-08 19:00:00,254.0,inch_code
ceasa,hourly,2025-06-09 15:00:00,254.0,inch_code
ceasa,hourly,2025-06-12 20:00:00,254.0,inch_code
ceasa,hourly,2025-06-13 02:00:00,254.0,inch_code
ceasa,hourly,2025-06-13 09:00:00,254.0,inch_code
ceasa,hourly,2025-06-14 00:00:00,254.0,inch_code
ceasa,hourly,2025-06-20 17:00:00,254.0,inch_code
ceasa,hourly,2025-06-22 14:00:00,254.0,inch_code
ceasa,hourly,2025-07-04 12:00:00,254.0,inch_code
ceasa,hourly,2025-07-04 13:00:00,254.0,inch_code
ceasa,hourly,2025-08-05 12:00:00,254.0,inch_code
ceasa,hourly,2025-08-06 11:00:00,254.0,inch_code
ceasa,hourly,2025-08-26 08:00:00,254.0,inch_code
ceasa,hourly,2025-08-26 11:00:00,254.0,inch_code
