date,gauge,rain_mm
2021-10-30,aventureiro,10.25
2021-10-31,aventureiro,0.0
2021-11-01,aventureiro,0.0
2021-11-02,aventureiro,0.0
2021-11-03,aventureiro,0.0
2021-11-04,aventureiro,0.0
2021-11-05,aventureiro,0.0
2021-11-06,aventureiro,0.0
2021-11-07,aventureiro,0.0
2021-11-08,aventureiro,0.0
2021-11-09,aventureiro,0.0
2021-11-10,aventureiro,0.0
2021-11-11,aventureiro,0.0
2021-11-12,aventureiro,0.0
2021-11-13,aventureiro,0.0
2021-11-14,aventureiro,0.0
2021-11-15,aventureiro,0.0
2021-11-16,aventureiro,0.0
2021-11-17,aventureiro,0.0
2021-11-18,aventureiro,0.0
2021-11-19,aventureiro,0.0
2021-11-20,aventureiro,0.0
2021-11-21,aventureiro,0.0
2021-11-22,aventureiro,0.0
2021-11-23,aventureiro,0.0
2021-11-24,aventureiro,0.0
2021-11-25,aventureiro,0.0
2021-11-26,aventureiro,0.0
2021-11-27,aventureiro,0.0
2021-11-28,aventureiro,0.0
2021-11-29,aventureiro,0.0
2021-11-30,aventureiro,0.0
2021-12-01,aventureiro,0.0
2021-12-02,aventureiro,0.0
2021-12-03,aventureiro,0.0
2021-12-04,aventureiro,0.0
2021-12-05,aventureiro,0.0
2021-12-06,aventureiro,0.0
2021-12-07,aventureiro,0.0
2021-12-08,aventureiro,0.0
2021-12-09,aventureiro,0.0
2021-12-10,aventureiro,0.0
2021-12-11,aventureiro,0.0
2021-12-12,aventureiro,0.0
2021-12-13,aventureiro,0.0
2021-12-14,aventureiro,0.0
2021-12-15,aventureiro,0.0
2021-12-16,aventureiro,0.0
2021-12-17,aventureiro,0.0
2021-12-18,aventureiro,0.0
2021-12-19,aventureiro,0.0
2021-12-20,aventureiro,0.0
2021-12-21,aventureiro,0.0
2021-12-22,aventureiro,0.0
2021-12-23,aventureiro,0.0
2021-12-24,aventureiro,0.0
2021-12-25,aventureiro,0.0
2021-12-26,aventureiro,0.0
2021-12-27,aventureiro,0.0
2021-12-28,aventureiro,0.0
2021-12-29,aventureiro,0.0
2021-12-30,aventureiro,0.0
2021-12-31,aventureiro,0.0
2022-01-01,aventureiro,0.0
2022-01-02,aventureiro,0.0
2022-01-03,aventureiro,0.0
2022-01-04,aventureiro,0.0
2022-01-05,aventureiro,0.0
2022-01-06,aventureiro,0.0
2022-01-07,aventureiro,0.0
2022-01-08,aventureiro,0.0
2022-01-09,aventureiro,0.0
2022-01-10,aventureiro,0.0
2022-01-11,aventureiro,0.0
2022-01-12,aventureiro,0.0
2022-01-13,aventureiro,0.0
2022-01-14,aventureiro,0.0
2022-01-15,aventureiro,0.0
2022-01-16,aventureiro,0.0
2022-01-17,aventureiro,0.0
2022-01-18,aventureiro,0.0
2022-01-19,aventureiro,0.0
2022-01-20,aventureiro,0.0
2022-01-21,aventureiro,0.0
2022-01-22,aventureiro,0.0
2022-01-23,aventureiro,0.0
2022-01-24,aventureiro,0.0
2022-01-25,aventureiro,0.0
2022-01-26,aventureiro,0.0
2022-01-27,aventureiro,0.0
2022-01-28,aventureiro,0.0
2022-01-29,aventureiro,0.0
2022-01-30,aventureiro,0.0
2022-01-31,aventureiro,0.0
2022-02-01,aventureiro,0.0
2022-02-02,aventureiro,0.0
2022-02-03,aventureiro,0.0
2022-02-04,aventureiro,22.0
2022-02-05,aventureiro,0.5900000000000001
2022-02-06,aventureiro,4.14
2022-02-07,aventureiro,0.0
2022-02-08,aventureiro,0.0
2022-02-09,aventureiro,0.99
2022-02-10,aventureiro,0.0
2022-02-11,aventureiro,0.0
2022-02-12,aventureiro,0.0
2022-02-13,aventureiro,0.0
2022-02-14,aventureiro,12.01
2022-02-15,aventureiro,0.0
2022-02-16,aventureiro,0.0
2022-02-17,aventureiro,28.76
2022-02-18,aventureiro,0.0
2022-02-19,aventureiro,0.0
2022-02-20,aventureiro,0.0
2022-02-21,aventureiro,5.7
2022-02-22,aventureiro,0.0
2022-02-23,aventureiro,13.58
2022-02-24,aventureiro,0.0
2022-02-25,aventureiro,1.2000000000000002
2022-02-26,aventureiro,0.0
2022-02-27,aventureiro,0.0
2022-02-28,aventureiro,0.0
2022-03-01,aventureiro,0.2
2022-03-02,aventureiro,20.47
2022-03-03,aventureiro,0.0
2022-03-04,aventureiro,0.0
2022-03-05,aventureiro,0.0
2022-03-06,aventureiro,0.0
2022-03-07,aventureiro,0.0
2022-03-08,aventureiro,0.0
2022-03-09,aventureiro,0.0
2022-03-10,aventureiro,0.0
2022-03-11,aventureiro,0.0
2022-03-12,aventureiro,0.0
2022-03-13,aventureiro,0.0
2022-03-14,aventureiro,0.0
2022-03-15,aventureiro,0.0
2022-03-16,aventureiro,0.0
2022-03-17,aventureiro,0.0
2022-03-18,aventureiro,0.0
2022-03-19,aventureiro,0.0
2022-03-20,aventureiro,0.0
2022-03-21,aventureiro,0.0
2022-03-22,aventureiro,0.0
2022-03-23,aventureiro,0.0
2022-03-24,aventureiro,0.0
2022-03-25,aventureiro,0.0
2022-03-26,aventureiro,0.0
2022-03-27,aventureiro,0.0
2022-03-28,aventureiro,0.0
2022-03-29,aventureiro,0.0
2022-03-30,aventureiro,0.0
2022-03-31,aventureiro,0.0
2022-04-01,aventureiro,0.0
2022-04-02,aventureiro,0.0
2022-04-03,aventureiro,0.0
2022-04-04,aventureiro,0.0
2022-04-05,aventureiro,0.0
2022-04-06,aventureiro,0.0
2022-04-07,aventureiro,0.0
2022-04-08,aventureiro,0.0
2022-04-09,aventureiro,0.0
2022-04-12,aventureiro,0.0
2022-04-13,aventureiro,0.0
2022-04-14,aventureiro,0.0
2022-04-15,aventureiro,0.0
2022-04-16,aventureiro,0.0
2022-04-17,aventureiro,0.0
2022-04-18,aventureiro,0.0
2022-04-19,aventureiro,0.0
2022-04-20,aventureiro,0.0
2022-04-21,aventureiro,0.0
2022-04-22,aventureiro,0.0
2022-04-23,aventureiro,0.0
2022-04-24,aventureiro,0.0
2022-04-25,aventureiro,0.0
2022-04-26,aventureiro,0.0
2022-04-27,aventureiro,0.0
2022-04-28,aventureiro,0.0
2022-04-29,aventureiro,0.0
2022-04-30,aventureiro,0.0
2022-05-01,aventureiro,0.0
2022-05-02,aventureiro,0.0
2022-05-03,aventureiro,0.0
2022-05-04,aventureiro,0.0
2022-05-05,aventureiro,0.0
2022-05-06,aventureiro,0.0
2022-05-07,aventureiro,0.0
2022-05-08,aventureiro,0.0
2022-05-09,aventureiro,0.0
2022-05-10,aventureiro,0.0
2022-05-11,aventureiro,0.0
2022-05-12,aventureiro,0.0
2022-05-13,aventureiro,0.0
2022-05-14,aventureiro,0.0
2022-05-15,aventureiro,0.0
2022-05-16,aventureiro,0.0
2022-05-17,aventureiro,0.0
2022-05-18,aventureiro,0.0
2022-05-19,aventureiro,0.0
2022-05-20,aventureiro,0.0
2022-05-21,aventureiro,0.0
2022-05-22,aventureiro,0.0
2022-05-23,aventureiro,0.0
2022-05-24,aventureiro,0.0
2022-05-25,aventureiro,0.0
2022-05-26,aventureiro,0.0
2022-05-27,aventureiro,0.0
2022-05-28,aventureiro,0.0
2022-05-29,aventureiro,0.0
2022-05-30,aventureiro,0.0
2022-05-31,aventureiro,0.0
2022-06-01,aventureiro,0.0
2022-06-02,aventureiro,0.0
2022-06-03,aventureiro,0.0
2022-06-04,aventureiro,0.0
2022-06-05,aventureiro,0.0
2022-06-06,aventureiro,0.0
2022-06-07,aventureiro,0.0
2022-06-08,aventureiro,0.0
2022-06-09,aventureiro,0.0
2022-06-10,aventureiro,0.0
2022-06-11,aventureiro,0.0
2022-06-12,aventureiro,0.0
2022-06-13,aventureiro,0.0
2022-06-14,aventureiro,0.0
2022-06-15,aventureiro,0.0
2022-06-16,aventureiro,0.0
2022-06-17,aventureiro,0.0
2022-07-13,aventureiro,0.0
2022-07-14,aventureiro,0.0
2022-07-15,aventureiro,0.0
2022-07-16,aventureiro,0.0
2022-07-18,aventureiro,0.0
2022-08-06,aventureiro,0.0
2022-08-07,aventureiro,0.0
2022-08-08,aventureiro,0.0
2022-08-09,aventureiro,0.0
2022-08-10,aventureiro,0.0
2022-08-11,aventureiro,0.0
2022-08-12,aventureiro,0.0
2022-08-13,aventureiro,0.0
2022-08-14,aventureiro,0.0
2022-08-15,aventureiro,0.0
2022-08-16,aventureiro,0.0
2022-08-17,aventureiro,0.0
2022-08-18,aventureiro,0.0
2022-08-19,aventureiro,0.0
2022-08-20,aventureiro,0.0
2022-08-23,aventureiro,0.0
2022-08-24,aventureiro,0.0
2022-08-25,aventureiro,0.0
2022-08-26,aventureiro,0.0
2022-08-27,aventureiro,0.0
2022-08-28,aventureiro,0.0
2022-08-29,aventureiro,0.0
2022-08-30,aventureiro,0.0
2022-09-03,aventureiro,0.0
2022-09-04,aventureiro,0.0
2022-09-06,aventureiro,0.0
2022-09-07,aventureiro,0.0
2022-09-08,aventureiro,0.0
2022-09-09,aventureiro,0.0
2022-09-10,aventureiro,0.0
2022-09-11,aventureiro,0.0
2022-09-12,aventureiro,0.0
2022-09-13,aventureiro,0.0
2022-09-14,aventureiro,0.0
2022-09-15,aventureiro,0.0
2022-09-16,aventureiro,0.0
2022-09-17,aventureiro,0.0
2022-09-18,aventureiro,0.0
2022-09-19,aventureiro,0.0
2022-09-20,aventureiro,0.0
2022-09-21,aventureiro,0.0
2022-09-22,aventureiro,0.0
2022-09-24,aventureiro,0.0
2022-09-25,aventureiro,0.0
2022-09-26,aventureiro,0.0
2022-09-27,aventureiro,0.0
2022-09-28,aventureiro,0.0
2022-09-29,aventureiro,0.0
2022-09-30,aventureiro,0.0
2022-10-01,aventureiro,0.0
2022-10-02,aventureiro,0.0
2022-10-03,aventureiro,0.0
2022-10-04,aventureiro,0.0
2022-10-05,aventureiro,0.0
2022-10-06,aventureiro,0.0
2022-10-07,aventureiro,0.0
2022-10-08,aventureiro,0.0
2022-10-10,aventureiro,0.0
2022-10-11,aventureiro,0.0
2022-10-14,aventureiro,0.0
2022-10-15,aventureiro,0.0
2022-10-16,aventureiro,0.0
2022-10-17,aventureiro,0.0
2022-10-18,aventureiro,0.0
2022-10-19,aventureiro,0.0
2022-10-20,aventureiro,0.0
2022-10-21,aventureiro,0.0
2022-10-23,aventureiro,0.0
2022-10-24,aventureiro,0.0
2022-10-31,aventureiro,0.0
2022-11-08,aventureiro,0.0
2022-11-09,aventureiro,0.0
2022-11-10,aventureiro,0.0
2022-11-11,aventureiro,0.0
2022-11-12,aventureiro,0.0
2022-11-13,aventureiro,0.0
2022-11-14,aventureiro,0.0
2022-11-15,aventureiro,0.0
2022-11-23,aventureiro,0.0
2022-11-25,aventureiro,0.0
2022-11-26,aventureiro,0.0
2022-11-27,aventureiro,0.0
2022-11-28,aventureiro,0.0
2022-11-29,aventureiro,0.0
2022-11-30,aventureiro,0.0
2022-12-01,aventureiro,0.0
2022-12-02,aventureiro,0.0
2022-12-03,aventureiro,0.0
2022-12-04,aventureiro,0.0
2022-12-05,aventureiro,0.0
2022-12-06,aventureiro,0.0
2022-12-07,aventureiro,0.0
2022-12-08,aventureiro,0.0
2022-12-09,aventureiro,0.0
2022-12-10,aventureiro,0.0
2022-12-11,aventureiro,0.0
2022-12-12,aventureiro,0.0
2022-12-13,aventureiro,0.0
2022-12-14,aventureiro,0.0
2022-12-15,aventureiro,0.0
2022-12-16,aventureiro,0.0
2022-12-17,aventureiro,0.0
2022-12-18,aventureiro,0.0
2022-12-19,aventureiro,0.0
2022-12-20,aventureiro,0.0
2022-12-21,aventureiro,0.0
2022-12-22,aventureiro,0.0
2022-12-23,aventureiro,0.0
2022-12-24,aventureiro,0.0
2022-12-25,aventureiro,0.0
2022-12-26,aventureiro,0.0
2022-12-27,aventureiro,0.0
2022-12-28,aventureiro,0.0
2022-12-29,aventureiro,0.0
2022-12-30,aventureiro,0.0
2022-12-31,aventureiro,0.0
2023-01-01,aventureiro,0.0
2023-01-02,aventureiro,0.0
2023-01-03,aventureiro,0.0
2023-01-04,aventureiro,0.0
2023-01-05,aventureiro,0.0
2023-01-06,aventureiro,0.0
2023-01-07,aventureiro,0.0
2023-01-08,aventureiro,0.0
2023-01-09,aventureiro,0.0
2023-01-14,aventureiro,0.0
2023-01-15,aventureiro,0.0
2023-01-16,aventureiro,0.0
2023-01-17,aventureiro,0.0
2023-01-18,aventureiro,0.0
2023-01-19,aventureiro,0.0
2023-01-20,aventureiro,0.0
2023-01-21,aventureiro,0.0
2023-01-22,aventureiro,0.0
2023-01-23,aventureiro,0.0
2023-01-24,aventureiro,0.0
2023-01-26,aventureiro,0.0
2023-01-28,aventureiro,0.0
2023-01-29,aventureiro,0.0
2023-01-30,aventureiro,0.0
2023-01-31,aventureiro,0.0
2023-02-01,aventureiro,0.0
2023-02-02,aventureiro,0.0
2023-02-03,aventureiro,0.0
2023-02-04,aventureiro,0.0
2023-02-05,aventureiro,0.0
