Data/Hora,Causa,Tipo,Desabrigados,Bairros,Situação;
"27 de abr. de 2021, 08:00:00,Não há dados,Doenças infecciosas virais,0,""Adhemar Garcia, América, Anita Garibaldi, Atiradores, Aventureiro, Boa Vista, Boehmerwald, Bom Retiro, Bucarein, Centro, Comasa, Costa e Silva, Dona Francisca, Espinheiros, Fátima, Floresta, Glória, Guanabara, Jardim Sofia, Itinga, Itaum, iririú, João Costa, Jarivatuba, Jardim Paraíso, Jardim Iririú, Morro do Meio, Nova Brasília, Paranaguamirim, Parque Guarani, Petrópolis, Rio Bonito, Profipo, Pirabeiraba, Zona Industrial Tupy, Zona Industrial Norte, Santa Catarina, Saguaçu, Vila Cubatão, Vila Nova, Ulysses Guimarães, São Marcos, Santo Antônio, Zona Rural"",Emergência";
"1 de nov. de 2021, 05:00:00,""122mm em 24h, 220mm em 72h registrados no bairro Vila Nova. Nível de 26,6m na estação hidrometeorológica cubatão."",Chuvas Intensas,0,""Centro, Bom Retiro, Saguaçu, Anita Garibaldi, Floresta, Itaum, Petrópolis, Guanabara, Boa Vista, iririú, Pirabeiraba, Vila Nova"",Normalidade";
22 de nov. de 2021, 20:00:00,Colapso de galeria,Colapso de Edificação,0,Centro,Normalidade;
"18 de dez. de 2021, 17:00:00,58mm em 24h,Enxurrada,0,""Vila Nova, Dona Francisca, Pirabeiraba"",Normalidade";
"5 de jan. de 2022, 16:00:00,40mm/h,Alagamentos,0,""Centro, Anita Garibaldi, Floresta"",Normalidade";
"14 de fev. de 2022, 14:00:00,Ventos de até 78 km/h e chuvas de até 35mm em 1h,Granizo,0,""Guanabara, Morro do Meio, Nova Brasília, Floresta"",Normalidade";
"18 de mar. de 2022, 16:00:00,""30mm em 30 min ventos de até 51,3 km/h"",Chuvas Intensas,0,""Anita Garibaldi, Centro, Floresta, Petrópolis, Boehmerwald, Itinga, João Costa, Boa Vista, Profipo, Guanabara, Nova Brasília"",Normalidade";
"30 de mar. de 2022, 14:00:00,""Ventos de até 68,08km/h"",Vendaval,0,""Jardim Iririú, Paranaguamirim, Morro do Meio, Anita Garibaldi, Saguaçu, Comasa, America, iririú, Pirabeiraba, Centro, Guanabara, Ulysses Guimarães"",Normalidade";
"3 de mai. de 2022, 10:00:00,chuva de até 198mm,Chuvas Intensas,0,""Jardim Iririú, Centro, Boa Vista, Comasa, iririú, Bom Retiro, America, Aventureiro, Saguaçu, Itinga, Santa Catarina, Fátima, Profipo, Boehmerwald, Anita Garibaldi, Bucarein, Floresta, Petrópolis"",Normalidade";
"10 de ago. de 2022, 09:00:00,Chuva de até 224mm em 48h rajadas de até 75km/h,Chuvas Intensas,0,""Dona Francisca, Pirabeiraba, Rio Bonito, Zona Industrial Norte, Zona Industrial Tupy, Jardim Paraíso, Jardim Sofia, Vila Cubatão, Morro do Meio, Vila Nova, Nova Brasília, São Marcos, Costa e Silva, Santo Antônio, Bom Retiro, América, Saguaçu, iririú, Centro, Glória, Bucarein, Anita Garibaldi, Atiradores, Aventureiro, Boa Vista, Jardim Iririú, Comasa, Espinheiros, Adhemar Garcia, Ulysses Guimarães, Jarivatuba, Parque Guarani, Paranaguamirim, Guanabara, Fátima, João Costa, Itaum, Petrópolis, Boehmerwald, Itinga, Floresta, Santa Catarina, Profipo, Zona Rural"",""Emergência reconhecida pela Portaria Nº 2785, de 09 de setembro de 2022""";
"26 de nov. de 2022, 10:00:00,Não há dados,Chuvas Intensas,0,""Centro, Paranaguamirim, Guanabara, Bucarein, Fátima, Itaum, Parque Guarani"",Normalidade";
"28 de nov. de 2022, 00:01:00,553mm em 6 dias,Chuvas Intensas,203,""Pirabeiraba, Rio Bonito, Jardim Sofia, Jardim Paraíso, Zona Industrial Norte, Vila Cubatão, Vila Nova, Morro do Meio, Nova Brasília, Centro, Saguaçu, America, Glória, Paranaguamirim, Santa Catarina, Adhemar Garcia, Ulysses Guimarães, Bucarein, Atiradores, Anita Garibaldi, Profipo, Comasa, Boa Vista, Jardim Iririú, Fátima, Guanabara, Costa e Silva, João Costa, Espinheiros, Bom Retiro, Itaum, Floresta, Boehmerwald, Itinga, Dona Francisca, Petrópolis, Jarivatuba, iririú, São Marcos, Parque Guarani, Aventureiro, Santo Antônio, Zona Rural"",""Emergência reconhecida pela Portaria Nº 3457, de 02 de dezembro de 2022""";
20 de dez. de 2022, 11:00:00,Não há dados,Chuvas Intensas,0,Não há dados,Normalidade;
"3 de jan. de 2023, 15:00:00,""62mm em 1h, 81mm em 24h"",Chuvas Intensas,0,""Fátima, Guanabara, Itaum, Petrópolis, Boehmerwald, Profipo, João Costa, Jarivatuba, Parque Guarani, Adhemar Garcia, Ulysses Guimarães, Paranaguamirim, Santa Catarina, Floresta, Boa Vista, Comasa, Espinheiros, Jardim Iririú, iririú, Aventureiro, Bom Retiro, Anita Garibaldi"",Normalidade";
"19 de jan. de 2023, 14:00:00,40mm em 1h,Chuvas Intensas,0,""Bom Retiro, Centro, Saguaçu, Glória, Atiradores, Zona Industrial Norte, Pirabeiraba"",Normalidade";
10 de fev. de 2023, 18:00:00,Não há dados,Enxurrada,0,Zona Rural,Normalidade;
"13 de jul. de 2023, 11:00:00,Ventos de 65 km/h,Vendaval,0,""Dona Francisca, Pirabeiraba, Zona Rural"",Normalidade";
"4 de out. de 2023, 08:00:00,88mm em 24h,Chuvas Intensas,0,""Anita Garibaldi, Bucarein, Floresta, Paranaguamirim, Ulysses Guimarães, Itaum, Fátima, Bom Retiro, Parque Guarani, Petrópolis, Vila Nova, Morro do Meio, Nova Brasília, São Marcos"",Normalidade";
"11 de jan. de 2024, 17:30:00,""79,4mm em 1h na estação em Nova brasília, e  97,88mm em 3h, na estação Salto I"",Chuvas Intensas,0,""Paranaguamirim, Floresta, Nova Brasília, João Costa, Petrópolis, Jarivatuba, Boehmerwald, Parque Guarani, Guanabara, Ulysses Guimarães, Anita Garibaldi, Costa e Silva, Fátima, iririú, Glória, Atiradores, Vila Nova, São Marcos, Centro, América, Bucarein, Profipo"",Normalidade";
"22 de jan. de 2024, 11:00:00,""123mm em 6h "",Chuvas Intensas,0,""Vila Nova, João Costa"",Normalidade";
